X_Value,Voltage_0,Voltage_1,Voltage_2,Voltage_3
0.86,0.031242,0.003437,1.275895,-0.008543
0.865,0.033792,0.005986,1.270796,0.004201
0.87,0.033792,0.005986,1.288644,-0.005994
0.875,0.033792,0.005986,1.283544,0.004201
0.88,0.033792,0.003437,1.293743,-0.003445
0.885,0.031242,0.011084,1.278445,-0.000897
0.89,0.028692,0.005986,1.286094,-0.000897
0.895,0.038892,0.005986,1.278445,0.004201
0.9,0.028692,0.005986,1.278445,-0.005994
0.905,0.038892,0.005986,1.286094,0.004201
0.91,0.026142,0.005986,1.286094,-0.008543
0.915,0.038892,0.003437,1.275895,0.004201
0.92,0.033792,0.011084,1.273345,-0.005994
0.925,0.033792,0.000888,1.275895,0.004201
0.93,0.033792,0.013633,1.270796,-0.000897
0.935,0.031242,0.000888,1.291194,-0.000897
0.94,0.033792,0.011084,1.280995,0.001652
0.945,0.038892,0.000888,1.288644,0.004201
0.95,0.028692,0.005986,1.293743,-0.008543
0.955,0.033792,0.005986,1.283544,-0.000897
0.96,0.033792,0.000888,1.288644,-0.000897
0.965,0.033792,0.013633,1.268246,-0.000897
0.97,0.033792,0.000888,1.283544,-0.000897
0.975,0.033792,0.013633,1.280995,-0.005994
0.98,0.033792,0.000888,1.286094,0.004201
0.985,0.028692,0.005986,1.280995,-0.005994
0.99,0.038892,0.005986,1.288644,0.004201
0.995,0.028692,0.005986,1.275895,-0.005994
1,0.033792,0.005986,1.278445,0.004201
1.005,0.026142,0.000888,1.286094,-0.000897
1.01,0.033792,0.011084,1.283544,-0.000897
1.015,0.033792,0.003437,1.291194,0.004201
1.02,0.031242,0.005986,1.288644,-0.005994
1.025,0.038892,0.003437,1.278445,0.004201
1.03,0.026142,0.005986,1.298843,-0.005994
1.035,0.033792,0.005986,1.273345,0.004201
1.04,0.026142,0.005986,1.283544,-0.005994
1.045,0.036342,0.005986,1.265696,0.004201
1.05,0.033792,0.005986,1.288644,-0.005994
1.055,0.033792,0.005986,1.288644,-0.000897
1.06,0.038892,0.003437,1.288644,0.001652
